Trading name,Owner's name,Current address,GPhC registration number,Status
A A Hagan Ltd,A A Hagan Ltd,"119-121 Grieve Road, GREENOCK, Renfrewshire, PA16 7AW, UK",1109031,Registered
A N Patel Pharmacy,Mill Road Pharmacy Limited,"181 Mill Road, KETTERING, Northamptonshire, NN16 0RH, UK",1035429,Registered
A Nima Pharmacy,Anna Healthcare Ltd,"50 Friars Stile Road, RICHMOND, Surrey, TW10 6NQ, UK",1036710,Registered
A Procter & Son Ltd.,"Procter & Son Ltd., A.","63 High Street, HEATHFIELD, East Sussex, TN21 8HU, UK",1036203,Registered
A Procter & Son Ltd.,"Procter & Son Ltd., A.","Station Road, HEATHFIELD, East Sussex, TN21 8LD, UK",1036204,Registered
A Procter & Son Ltd.,"Procter & Son Ltd., A.","69 High Street, POLEGATE, East Sussex, BN26 6AH, UK",1036255,Registered
A Williams,Anne Williams,"22 Cowbridge Road, PONTYCLUN, Mid Glamorgan, CF72 9EE, UK",1043604,Registered
A. & J.M. Sheppard Ltd,Avicenna Retail Ltd,"15 Llwynypia Road, TONYPANDY, Mid Glamorgan, CF40 2EL, UK",1043640,Registered
A. & J.M. Sheppard Ltd,Avicenna Retail Ltd,"35 Dyffryn Road, Rhydyfelin, PONTYPRIDD, Mid Glamorgan, CF37 5RW, UK",1043592,Registered
A. & J.M. Sheppard Ltd,Avicenna Retail Ltd,"62A High Street, Cefn Coed, MERTHYR TYDFIL, Mid Glamorgan, CF48 2PL, UK",1043563,Registered
A. & J.M. Sheppard Ltd,Avicenna Retail Ltd,"4 Mill Street, Trecynon, ABERDARE, Mid Glamorgan, CF44 8NA, UK",1043475,Registered
A. & J.M. Sheppard Ltd,Avicenna Retail Ltd,"22-25 Whitcombe Street, ABERDARE, Mid Glamorgan, CF44 7AU, UK",1043478,Registered
A.A. Pharmacy,Tinij Ltd,"98 Whitmore Way, BASILDON, Essex, SS14 3JT, UK",1031030,Registered
A.C. Curd (Isleworth) Ltd,A C Curd (Isleworth) Ltd,"55 South Street, ISLEWORTH, Middlesex, TW7 7AA, UK",1035045,Registered
A.C. Moule & Co,A.C. Moule Limited,"55 Parliament Road, MIDDLESBROUGH, Cleveland, TS1 4JW, UK",1029962,Registered
A.D. & I.A. Gohil,A.D. & I.A. Gohil,"Milford Pharmacy, Portsmouth Road, Milford, GODALMING, Surrey, GU8 5DR, UK",1036592,Registered
A.D. Phillips,Phillips Chemists Limited,"21a Church Road, Trimdon Village, TRIMDON STATION, County Durham, TS29 6PY, UK",1029498,Registered
A.E. Hobbs Ltd.,"Hobbs Ltd., A.E.","72 Mount Pleasant, TUNBRIDGE WELLS, Kent, TN1 1RJ, UK",1033007,Registered
A.F. Browne Ltd.,A F Browne Ltd,"174 Eynsham Drive, Abbey Wood, LONDON, SE2 9PT, UK",1040746,Registered
A.F.Norman Chemists Ltd.,A. F. Norman Chemists Ltd.,"55 Senhouse Street, MARYPORT, Cumbria, CA15 6BL, UK",1030221,Registered
A.H. Hale Ltd.,A H Hale Ltd,"The Bathwick Pharmacy, 8 Argyle Street, Laura Place, BATH, Avon, BA2 4BQ, UK",1028531,Registered
A.J. Campbell Chemist,Wessex Pharmacy Ltd,"133 Bath Road, SLOUGH, Berkshire, SL1 3UR, UK",1029012,Registered
A.J. Nuttall Ltd.;,A.J. Nuttall Ltd,"603 Market Street, Whitworth, ROCHDALE, Lancashire, OL12 8QS, UK",1033876,Registered
A.Karim's-Chuckery Pharmacy,Ph4rmacy Limited,"7-9 Kinnerley Street, WALSALL, WS1 2LD, UK",1115567,Registered
A.M. Clark Ltd.,A.M.Clark Limited,"1 Market Place, Penistone, SHEFFIELD, South Yorkshire, S36 6DA, UK",1039344,Registered
A.P.Chemist Ltd,A P Chemist Ltd,"129 High Street Colliers Wood, LONDON, SW19 2HR, UK",1125513,Registered
A.R. & H. Davies,A R & H Davies Limited,"4 Kings Road, LLANDOVERY, Dyfed, SA20 0AW, UK",1043268,Registered
A.R. Pharmacy,Eyre Ltd,"34 High Street, LYNDHURST, Hampshire, SO43 7BG, UK",1031763,Registered
A.R. Pharmacy,Eyre Ltd,"3 Hazel Farm Road, West Totton, SOUTHAMPTON, Hampshire, SO40 8WU, UK",1031866,Registered
A.R.K. Healthcare Ltd,A.R.K. Healthcare Limited,"566-568 Stratford Road, Sparkhill, BIRMINGHAM, West Midlands, B11 4AN, UK",1038139,Registered
A.S. Carlton Limited,A.S. Carlton Limited,"10 Station Road, OSSETT, West Yorkshire, WF5 8AD, UK",1039869,Registered
A.S. Facer (Longton) Ltd.,"Facer (Longton) Ltd., A.S.","66 Liverpool Road, Longton, PRESTON, Lancashire, PR4 5PB, UK",1033830,Registered
A.S. Kitching Ltd.,As Kitching (Oakengates) Ltd,"Limes Walk, Oakengates, TELFORD, Shropshire, TF2 6EP, UK",1036065,Registered
A+ Pharmacy,Richmond Healthcare (Stechford) Ltd,"311 Bordesley Green East, Stetchford, BIRMINGHAM, West Midlands, B33 8QF, UK",1037901,Registered
A1 Chemist,RV PHARMA LTD,"4 Herriotts Lane, Wellingborough, NORTHAMPTON, Northamptonshire, NN8 4PT, UK",1035482,Registered
A1 Pharmacy,A1 Healthcare Limited,"491 Radcliffe Road, BOLTON, Lancashire, BL3 1SX, UK",1105704,Registered
Abbey Chemist,Abbey Chemists Ltd,"27 Gauze Street, PAISLEY, Renfrewshire, PA1 1ES, UK",1042921,Registered
Abbey Chemists,Abbey Chemists Ltd,"Lonend, PAISLEY, Renfrewshire, PA1 1SU, UK",1042928,Registered
Abbey Healthcare,Renner Ujonson Limited,"Medical Hall, ABERDOVEY, Gwynedd, LL35 0EB, UK",1043916,Registered
Abbey Pharmacy,Chemilab Limited,"45 High Street, Abbotts Langley, WATFORD, Hertfordshire, WD5 0AA, UK",1032420,Registered
Abbey Pharmacy,Flagship (Dorset) Ltd,"83 Cheap Street, SHERBORNE, Dorset, DT9 3BA, UK",1030605,Registered
Abbey Pharmacy,Gibson Pharmacy Ltd,"19-21 Howard Street, ROTHERHAM, South Yorkshire, S65 1JQ, UK",1039214,Registered
Abbey Pharmacy,Jardines (U.K.) Ltd,"63 Central Avenue, Beeston, NOTTINGHAM, Nottinghamshire, NG9 2QP, UK",1096941,Registered
Abbey Pharmacy,Nitin Lad,"313 Stockbrook Street, DERBY, Derbyshire, DE22 3WH, UK",1030398,Registered
Abbey Pharmacy,Pearl Chemist Limited,"12A Abbey Parade, 116 Merton High Street, LONDON, SW19 1DG, UK",1087374,Registered
Abbeydale Pharmacy,Rehman Enterprises Ltd,"713 Abbeydale Road, SHEFFIELD, S7 2BE, UK",1122606,Registered
Abbots Langley Pharmacy,Abbots Healthcare Limited,"78 High Street, ABBOTS LANGLEY, Hertfordshire, WD5 0AW, UK",1120385,Registered
